Team Name,Rank
T_Thunder,1
Tcookies,2
Htron,3
Axiom,4
Ethos,5
GG,6
Morri,7
Mount,8
Whakatu,9
Patch,10
MUA,11
AUUC,12
Euphoria,13
Radiance,14
Gen3,15
Luminance,16
Duck,17
Wow,18
